1,Survived,Sex,Age
2,1,female,38.0
4,1,female,35.0
7,0,male,54.0
12,1,female,58.0
24,1,male,28.0
28,0,male,19.0
31,0,male,40.0
32,1,female,
35,0,male,28.0
36,0,male,42.0
53,1,female,49.0
55,0,male,65.0
56,1,male,
62,1,female,38.0
63,0,male,45.0
65,0,male,
84,0,male,28.0
89,1,female,23.0
93,0,male,46.0
97,0,male,71.0
98,1,male,23.0
103,0,male,21.0
111,0,male,47.0
119,0,male,24.0
125,0,male,54.0
137,1,female,19.0
138,0,male,37.0
140,0,male,24.0
152,1,female,22.0
156,0,male,51.0
167,1,female,
169,0,male,
171,0,male,61.0
175,0,male,56.0
178,0,female,50.0
186,0,male,
188,1,male,45.0
195,1,female,44.0
196,1,female,58.0
210,1,male,40.0
216,1,female,31.0
219,1,female,32.0
225,1,male,38.0
231,1,female,35.0
246,0,male,44.0
249,1,male,37.0
253,0,male,62.0
257,1,female,
258,1,female,30.0
259,1,female,35.0
263,0,male,52.0
264,0,male,40.0
269,1,female,58.0
270,1,female,35.0
271,0,male,
274,0,male,37.0
276,1,female,63.0
285,0,male,
291,1,female,26.0
292,1,female,19.0
296,0,male,
298,0,female,2.0
299,1,male,
300,1,female,50.0
306,1,male,0.92
307,1,female,
308,1,female,17.0
310,1,female,30.0
311,1,female,24.0
312,1,female,18.0
319,1,female,31.0
320,1,female,40.0
326,1,female,36.0
330,1,female,16.0
332,0,male,45.5
333,0,male,38.0
335,1,female,
337,0,male,29.0
338,1,female,41.0
340,0,male,45.0
342,1,female,24.0
352,0,male,
357,1,female,22.0
367,1,female,60.0
370,1,female,24.0
371,1,male,25.0
374,0,male,22.0
376,1,female,
378,0,male,27.0
381,1,female,42.0
384,1,female,35.0
391,1,male,36.0
394,1,female,23.0
413,1,female,33.0
431,1,male,28.0
435,0,male,50.0
436,1,female,14.0
439,0,male,64.0
446,1,male,4.0
448,1,male,34.0
450,1,male,52.0
453,0,male,30.0
454,1,male,49.0
457,0,male,65.0
458,1,female,
461,1,male,48.0
463,0,male,47.0
468,0,male,56.0
476,0,male,
485,1,male,25.0
487,1,female,35.0
488,0,male,58.0
493,0,male,55.0
494,0,male,71.0
497,1,female,54.0
499,0,female,25.0
505,1,female,16.0
506,0,male,18.0
508,1,male,
513,1,male,36.0
514,1,female,54.0
516,0,male,47.0
521,1,female,30.0
524,1,female,44.0
528,0,male,
537,0,male,45.0
538,1,female,30.0
540,1,female,22.0
541,1,female,36.0
545,0,male,50.0
546,0,male,64.0
551,1,male,17.0
556,0,male,62.0
557,1,female,48.0
558,0,male,
559,1,female,39.0
572,1,female,53.0
573,1,male,36.0
578,1,female,39.0
582,1,female,39.0
584,0,male,36.0
586,1,female,18.0
588,1,male,60.0
592,1,female,52.0
600,1,male,49.0
603,0,male,
605,1,male,35.0
608,1,male,27.0
610,1,female,40.0
622,1,male,42.0
626,0,male,61.0
628,1,female,21.0
631,1,male,80.0
633,1,male,32.0
634,0,male,
642,1,female,24.0
646,1,male,48.0
648,1,male,56.0
660,0,male,58.0
661,1,male,50.0
663,0,male,47.0
670,1,female,
672,0,male,31.0
680,1,male,36.0
682,1,male,27.0
690,1,female,15.0
691,1,male,31.0
695,0,male,60.0
699,0,male,49.0
701,1,female,18.0
702,1,male,35.0
708,1,male,42.0
709,1,female,22.0
711,1,female,24.0
712,0,male,
713,1,male,48.0
717,1,female,38.0
725,1,male,27.0
731,1,female,29.0
738,1,male,35.0
741,1,male,
742,0,male,36.0
743,1,female,21.0
746,0,male,70.0
749,0,male,19.0
760,1,female,33.0
764,1,female,36.0
766,1,female,51.0
767,0,male,
780,1,female,43.0
782,1,female,17.0
783,0,male,29.0
790,0,male,46.0
794,0,male,
797,1,female,49.0
803,1,male,11.0
807,0,male,39.0
810,1,female,33.0
816,0,male,
821,1,female,52.0
823,0,male,38.0
830,1,female,62.0
836,1,female,39.0
840,1,male,
843,1,female,30.0
850,1,female,
854,1,female,16.0
857,1,female,45.0
858,1,male,51.0
863,1,female,48.0
868,0,male,31.0
872,1,female,47.0
873,0,male,33.0
880,1,female,56.0
888,1,female,19.0
890,1,male,26.0
