3,Survived,Sex,Age
1,0,male,22.0
3,1,female,26.0
5,0,male,35.0
6,0,male,
8,0,male,2.0
9,1,female,27.0
11,1,female,4.0
13,0,male,20.0
14,0,male,39.0
15,0,female,14.0
17,0,male,2.0
19,0,female,31.0
20,1,female,
23,1,female,15.0
25,0,female,8.0
26,1,female,38.0
27,0,male,
29,1,female,
30,0,male,
33,1,female,
37,1,male,
38,0,male,21.0
39,0,female,18.0
40,1,female,14.0
41,0,female,40.0
43,0,male,
45,1,female,19.0
46,0,male,
47,0,male,
48,1,female,
49,0,male,
50,0,female,18.0
51,0,male,7.0
52,0,male,21.0
58,0,male,28.5
60,0,male,11.0
61,0,male,22.0
64,0,male,4.0
66,1,male,
68,0,male,19.0
69,1,female,17.0
70,0,male,26.0
72,0,female,16.0
74,0,male,26.0
75,1,male,32.0
76,0,male,25.0
77,0,male,
78,0,male,
80,1,female,30.0
81,0,male,22.0
82,1,male,29.0
83,1,female,
86,1,female,33.0
87,0,male,16.0
88,0,male,
90,0,male,24.0
91,0,male,29.0
92,0,male,20.0
94,0,male,26.0
95,0,male,59.0
96,0,male,
101,0,female,28.0
102,0,male,
104,0,male,33.0
105,0,male,37.0
106,0,male,28.0
107,1,female,21.0
108,1,male,
109,0,male,38.0
110,1,female,
112,0,female,14.5
113,0,male,22.0
114,0,female,20.0
115,0,female,17.0
116,0,male,21.0
117,0,male,70.5
120,0,female,2.0
122,0,male,
126,1,male,12.0
127,0,male,
128,1,male,24.0
129,1,female,
130,0,male,45.0
131,0,male,33.0
132,0,male,20.0
133,0,female,47.0
139,0,male,16.0
141,0,female,
142,1,female,22.0
143,1,female,24.0
144,0,male,19.0
147,1,male,27.0
148,0,female,9.0
153,0,male,55.5
154,0,male,40.5
155,0,male,
157,1,female,16.0
158,0,male,30.0
159,0,male,
160,0,male,
161,0,male,44.0
163,0,male,26.0
164,0,male,17.0
165,0,male,1.0
166,1,male,9.0
168,0,female,45.0
170,0,male,28.0
172,0,male,4.0
173,1,female,1.0
174,0,male,21.0
176,0,male,18.0
177,0,male,
180,0,male,36.0
181,0,female,
183,0,male,9.0
185,1,female,4.0
187,1,female,
189,0,male,40.0
190,0,male,36.0
193,1,female,19.0
197,0,male,
198,0,male,42.0
199,1,female,
201,0,male,28.0
202,0,male,
203,0,male,34.0
204,0,male,45.5
205,1,male,18.0
206,0,female,2.0
207,0,male,32.0
208,1,male,26.0
209,1,female,16.0
211,0,male,24.0
213,0,male,22.0
215,0,male,
217,1,female,27.0
221,1,male,16.0
223,0,male,51.0
224,0,male,
226,0,male,22.0
228,0,male,20.5
230,0,female,
232,0,male,29.0
234,1,female,5.0
236,0,female,
241,0,female,
242,1,female,
244,0,male,22.0
245,0,male,30.0
247,0,female,25.0
251,0,male,
252,0,female,29.0
254,0,male,30.0
255,0,female,41.0
256,1,female,29.0
261,0,male,
262,1,male,3.0
265,0,female,
267,0,male,16.0
268,1,male,25.0
272,1,male,25.0
275,1,female,
277,0,female,45.0
279,0,male,7.0
280,1,female,35.0
281,0,male,65.0
282,0,male,28.0
283,0,male,16.0
284,1,male,19.0
286,0,male,33.0
287,1,male,30.0
288,0,male,22.0
290,1,female,22.0
294,0,female,24.0
295,0,male,24.0
297,0,male,23.5
301,1,female,
302,1,male,
303,0,male,19.0
305,0,male,
314,0,male,28.0
316,1,female,26.0
321,0,male,22.0
322,0,male,27.0
325,0,male,
327,0,male,61.0
329,1,female,31.0
331,1,female,
334,0,male,16.0
336,0,male,
339,1,male,45.0
348,1,female,
349,1,male,3.0
350,0,male,42.0
351,0,male,23.0
353,0,male,15.0
354,0,male,25.0
355,0,male,
356,0,male,28.0
359,1,female,
360,1,female,
361,0,male,40.0
363,0,female,45.0
364,0,male,35.0
365,0,male,
366,0,male,30.0
368,1,female,
369,1,female,
372,0,male,18.0
373,0,male,19.0
375,0,female,3.0
377,1,female,22.0
379,0,male,20.0
380,0,male,19.0
382,1,female,1.0
383,0,male,32.0
385,0,male,
387,0,male,1.0
389,0,male,
392,1,male,21.0
393,0,male,28.0
395,1,female,24.0
396,0,male,22.0
397,0,female,31.0
401,1,male,39.0
402,0,male,26.0
403,0,female,21.0
404,0,male,28.0
405,0,female,20.0
407,0,male,51.0
409,0,male,21.0
410,0,female,
411,0,male,
412,0,male,
415,1,male,44.0
416,0,female,
420,0,female,10.0
421,0,male,
422,0,male,21.0
423,0,male,29.0
424,0,female,28.0
425,0,male,18.0
426,0,male,
429,0,male,
430,1,male,32.0
432,1,female,
434,0,male,17.0
437,0,female,21.0
442,0,male,20.0
443,0,male,25.0
445,1,male,
449,1,female,5.0
452,0,male,
455,0,male,
456,1,male,29.0
460,0,male,
462,0,male,34.0
465,0,male,
466,0,male,38.0
469,0,male,
470,1,female,0.75
471,0,male,
472,0,male,38.0
475,0,female,22.0
478,0,male,29.0
479,0,male,22.0
480,1,female,2.0
481,0,male,9.0
483,0,male,50.0
484,1,female,63.0
486,0,female,
489,0,male,30.0
490,1,male,9.0
491,0,male,
492,0,male,21.0
495,0,male,21.0
496,0,male,
498,0,male,
500,0,male,24.0
501,0,male,17.0
502,0,female,21.0
503,0,female,
504,0,female,37.0
509,0,male,28.0
510,1,male,26.0
511,1,male,29.0
512,0,male,
515,0,male,24.0
518,0,male,
520,0,male,32.0
522,0,male,22.0
523,0,male,
525,0,male,
526,0,male,40.5
